Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Magnus von Wright,Haminalahden kartano,,graphics,,1875,,1805,1868,,1855
Karl Emanuel Jansson,Ränsistynyt turvekattoinen kivirakennus,,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Vesimylly,,graphics,,1874,,1846,1874,,
Magnus von Wright,Näkymä Honkolan kartanosta Urjalassa,,graphics,,1875,,1805,1868,,1867
Magnus von Wright,"Joenrantamaisema, Laanila, Oulu",,graphics,,1875,,1805,1868,,1856
Magnus von Wright,"Maisema Kangasalta, Sorolasta",,graphics,,1875,,1805,1868,,1861
Anders Fredrik Granstedt,Turun tuomiokirkon kuoriin koristepiirustukset,,graphics,,1850,,1800,1849,,
Magnus von Wright,Mikkeli,,graphics,,1875,,1805,1868,,1850
Berndt Abraham Godenhjelm,Oikeus ja viattomuus,,painting,,1869,,1799,1881,,1832
Reino Hietanen,Kiertokulku,,painting,,,,1932,,,1978
Karl Emanuel Jansson,Istuva poika,,graphics,,1874,,1846,1874,,
Magnus von Wright,Isovene Espoon Lehtisaaressa,,graphics,,1875,,1805,1868,,1865
Karl Emanuel Jansson,Kaappi,,graphics,,1874,,1846,1874,,
Jorma Hautala,Sommitelma,,painting,,,,1941,,,1980
Karl Emanuel Jansson,Ahvenanmaalainen talonpoikaisukko,,graphics,,1874,,1846,1874,,
Tapio Junno,Piirustus,,graphics,,,,1940,2006,,1968
Carolus Enckell,Teut,,painting,,,,1945,2017,,1990
Tuomas Mäntynen,Kuutamossa,,painting,,,,1932,,,1982
Juhana Blomstedt,Matinal,,painting,,,,1937,2010,,1975
Vladimir Kopteff,Construction 39,,painting,,,,1932,2007,,
Magnus von Wright,Katajanokalta,,painting,,1868,,1805,1868,,1868
Magnus von Wright,Näköala Aavasaksalta,,graphics,,1875,,1805,1868,,1856
Juhana Blomstedt,Nimetön,,painting,,,,1937,2010,,1975
Adolf von Becker,"Kyläsuutari, aihe Ranskasta",,painting,,1868,,1831,1909,,1868
Mathilda Rotkirch,"Kalakauppias, kopio Quiringh (Quirin) Gerritsz. van Brekelencamin mukaan",,painting,,1876,,1813,1842,,1839
Ilja Repin,Seivästä työntävä mies,,graphics,,,,1844,1930,,
Albert Edelfelt,"Miesmalli, akatemiaharjoitelma",,painting,,1876,,1854,1905,,1874
Albert Edelfelt,"Miesmalli, akatemiaharjoitelma",,painting,,1876,,1854,1905,,1874
Ferdinand von Wright,Näkymä Aavasaksalta,,graphics,,1875,,1822,1906,,1856
Magnus von Wright,Vuohitutkielma ; Maisematutkielma,,graphics,,1875,,1805,1868,,1846
Ilja Repin,Vihkiminen,,graphics,,,,1844,1930,,
Maria Wiik,Johannes Takasen muotokuva,,graphics,,1916,,1853,1928,,1885
Magnus von Wright,"Hautasaari ""Ludwigstein"" Monrepos'n kartanon puistossa",,graphics,,1875,,1805,1868,,1851
Magnus von Wright,Rantakiviä Haminalahdella,,graphics,,1875,,1805,1868,,1854
Viktor Kuusela,Kauppatorin satamasta,,graphics,,,,1925,,,1953
Magnus von Wright,"Helsinkiläinen satama, Katajanokkaa ja Kruununhakaa, kuvitusta teokseen Finland framställdt i teckningar, sivu nro 3",,graphics,,1875,,1805,1868,,1846
Karl Emanuel Jansson,"Tuvansisusta, keittiövälineitä",,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Sotilas 1600-luvun asussa,,graphics,,1874,,1846,1874,,
Albert Edelfelt,Dalinin kevätlaulu,,painting,,1883,,1854,1905,,1883
Magnus von Wright,Järvimaisema,,graphics,,1875,,1805,1868,,1853
Tuomas von Boehm,Sisäkuva III,,painting,,,,1916,2000,,1961
Félix Edouard Vallotton,Graafikko Félix Jasinskin muotokuva,,painting,,,,1865,1925,,1887
Max Klinger,Am Meer,,graphics,,1919,,1857,1920,,
Ernst Mether-Borgström,Omakuva keltainen kukka kädessä,,painting,,,,1917,1996,,1943
Magnus von Wright,Maisema Juustilanjärveltä Viipurista,,graphics,,1875,,1805,1868,,1851
Lena Cronqvist,,,painting,,,,,,,2003
Magnus von Wright,Tornion kirkko,,graphics,,1875,,1805,1868,,1856
Karl Emanuel Jansson,Draperiaharjoitelma seisovasta miehestä sekä miesten profiileita,,graphics,,1874,,1846,1874,,
Väinö Hervo,Asetelma,,painting,,,,1894,1974,,1950
Päiviö Pyöttiälä,Juopot,,painting,,,,1924,2006,,1982
Magnus von Wright,Snappertunan kirkko ja kylää,,graphics,,1875,,1805,1868,,1853
Karl Emanuel Jansson,Kastelholman linnan rauniot,,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,"Nainen ja rukki ; Luonnos maalaukseen ""Ropo haaviin"" (kaksipuolinen teos)",,graphics,,1874,,1846,1874,,
Magnus von Wright,Suopeltovuori Haminalahdessa,,painting,,1870,,1805,1868,,1867
Jaakko Pakkala,Peili-sarjasta I,,painting,,,,1948,,,2005
Isak Wacklin,Dorothea Maria Losch,,painting,,1872,,,1758,,1755
Magnus von Wright,"Kivi, harjoitelma",,painting,,1875,,1805,1868,,1858
Karl Emanuel Jansson,Kahden miehen muotokuvapäät,,graphics,,1874,,1846,1874,,
Frans Anatolius Sjöström,Ehdotus J. L. Runebergin hautamuistomerkiksi Porvooseen,,graphics,,1877,,1840,1885,,1877
Magnus von Wright,Tornion kirkko ja kaupunkia,,graphics,,1875,,1805,1868,,1856
Karl Emanuel Jansson,Kastelholman linnan rauniot,,graphics,,1874,,1846,1874,,
Elias Muukka,Rantamaisema Ahvenanmaalta,,painting,,1888,,1853,1938,,1888
Magnus von Wright,Näköala Siikaniemestä Riistavedellä,,graphics,,1875,,1805,1868,,1856
Karl Emanuel Jansson,Kastelholman linnan rauniot ; Harjoitelma pienestä tytöstä ja riippuvasta vaatteesta (kaksipuolinen teos),,graphics,,1874,,1846,1874,,1864
Karl Emanuel Jansson,"Kaksi rakennusta, joiden välissä olevalla veräjällä pieni tyttö",,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Rantamaisema rakennuksineen vedestä päin nähtynä,,graphics,,1874,,1846,1874,,
Robert Wilhelm Ekman,Kinkeripäivän aamuna,,painting,,1867,,1808,1873,,1867
Karl Emanuel Jansson,Kuusenlatva,,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Kivinen varastorakennus,,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Pystylaudoista koottu vanha turvekattoinen hökkeli,,graphics,,1874,,1846,1874,,
Magnus von Wright,"Metsänsisusharjoitelma, jossa keskellä on iso kivi",,graphics,,1875,,1805,1868,,1841
Lena Cronqvist,,,painting,,,,,,,1999
Karl Emanuel Jansson,Henkilöitä hämärässä sisätilassa,,graphics,,1874,,1846,1874,,
Peter Nicolai Arbo,Näyttelijätär Hedvig Charlotte Raa-Winterhjelmin muotokuva,,painting,,1887,,1831,1892,,1877
Karl Emanuel Jansson,Lasta ja koria kantava talonpoikaisnainen ja kelkkaa työntävä poika,,graphics,,1874,,1846,1874,,
Eduard Wiiralt,Maisema,,graphics,,1937,,1898,1954,,1936
Paul Osipow,Maalaus,,painting,,,,1939,,,1989
Magnus von Wright,Kangasala Kirkkoharjulta,,graphics,,1875,,1805,1868,,1861
Jorma Hautala,Sommitelma,,painting,,,,1941,,,1987
Oscar Kleineh,Katu Quimperissä Bretagnessa,,painting,,1871,,1846,1919,,1871
Timo Aalto,Sinistä,,painting,,,,1941,2003,,1993
Jorma Hautala,Sommitelma,,painting,,,,1941,,,1987
Karl Emanuel Jansson,"Tuvansisusta, pöydän vieressä istumassa poika",,graphics,,1874,,1846,1874,,
Augusta Soldan,"Baijerilainen vuoristomaisema, kopio Franz Hengsbachin mukaan",,painting,,1865,,1826,1886,,1864
Magnus von Wright,"Saaristomaisema, kuvitusta teokseen Finland framställdt i teckningar, lehti nro 4",,graphics,,1875,,1805,1868,,1846
Pehr Adolf Kruskopf,Hämeenlinna nähtynä maaherran huvilalta päin,,graphics,,1890,,1805,1852,,
Karl Emanuel Jansson,"Istualtaan veistävä mies ; samalla puolella paperia alle taitettuna sisäkuva, jossa on viisi henkilöä",,graphics,,1874,,1846,1874,,
Magnus von Wright,"Helsingin Tähtitorninmäki ja Observatorio, kuvitusta teokseen Finland framställdt i teckningar, lehti nro 1",,graphics,,1875,,1805,1868,,1846
Walter Zeising,Dresdenin Salzgasse,,graphics,,1919,,,,,1911
Wilho Sjöström,Pilvinen päivä,,painting,,1902,,1873,1944,,1902
Karl Emanuel Jansson,"Maisema, jossa vettä, rantaa ja saaria sekä tuvankatto etualalla",,graphics,,1874,,1846,1874,,
Paul Osipow,Punainen parooni,,painting,,,,1939,,,1965
Viktor Kuusela,Roomasta,,graphics,,,,1925,,,1958
Aarre Heinonen,Näköala Aulangolta,,painting,,,,1906,2003,,1952
Mauri Heinonen,Asetelma,,painting,,,,1926,2010,,1967
Magnus Enckell,"Karkotus paratiisista, kopio Masaccion mukaan",,painting,,,,1870,1925,,1898
Karl Emanuel Jansson,Rantamaisema aittoineen. Oikeassa ylänurkassa hattupäisen miehen rintakuva.,,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Makaava pitkäkarvainen koira,,graphics,,1874,,1846,1874,,
Magnus von Wright,Harjoitelmia puista ja kivistä,,graphics,,1875,,1805,1868,,1841
Alexander Lauréus,"Vanha vaimo värttinöineen, kopio Giuseppe Nogarin mukaan",,painting,,1849,,1783,1823,,1805
Emile Thysebaert,Katukauppias,,graphics,,1919,,1873,1963,,1910
Carl Bloch,Harjoitelmapää,,painting,,1871,,1834,1890,,1854
Karl Emanuel Jansson,Sisäkuva Finströmin kirkosta,,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Näköala Heleneborgista,,graphics,,1874,,1846,1874,,1866
Karl Emanuel Jansson,"Harjoitelmia kipsiveistosten jaloista, nukkuvan Endymion-veistoksen kokokuva sekä miehen muotokuvapää",,graphics,,1874,,1846,1874,,1866
Karl Emanuel Jansson,"Rantamaisema, mökki ja aitauksia",,graphics,,1874,,1846,1874,,1866
Karl Emanuel Jansson,Talonpoikaisrakennus,,graphics,,1874,,1846,1874,,
Jaakko Pakkala,Sidos,,painting,,,,1948,,,2005
Torger Enckell,Taiteilijan isän muotokuva,,graphics,,,,1901,1991,,1933
T. František Simon,Budhalainen temppeli Ceylonissa,,graphics,,,,1877,1942,,
Alfred William Finch,Purjeveneitä satamassa,,graphics,,,,1854,1930,,
Eino Ruutsalo,Pintoja tilassa II,,painting,,,,1921,2001,,1977
Artur Sahlén,"Muotokuva, kapteeni E. Malmberg",,graphics,,,,1882,1945,,
Axel Fridell,Low water,,graphics,,,,1894,1935,,
Frans Anatolius Sjöström,Ehdotus J. L. Runebergin hautamuistomerkiksi Porvooseen,,graphics,,1877,,1840,1885,,1877
Karl Emanuel Jansson,Torikohtaus Helsingistä. Univormupukuinen mies ja kalastaja käyvät kauppaa keskenään. Taustalla torielämää.,,graphics,,1874,,1846,1874,,1866
Alfred Hubert,Maisema Sveitsistä,,painting,,1850,,,,,
Heinrich Wolff,Naisen muotokuva,,graphics,,1919,,,,,1910
Albert Edelfelt,"Istuva vanha mies, akatemiaharjoitelma",,painting,,1876,,1854,1905,,1874
Albert Edelfelt,"Miesmalli, akatemiaharjoitelma",,painting,,1876,,1854,1905,,1874
Karl Emanuel Jansson,"Turvekattoinen mökki, jonka seinät osaksi laudasta osaksi kivenlohkareista",,graphics,,1874,,1846,1874,,
Magnus von Wright,Heinola,,graphics,,1875,,1805,1868,,1850
Eino Ruutsalo,Ristikkolasi,,sculpture,,,,1921,2001,,1982
Arvo Siikamäki,Lepäävä nainen,,sculpture,,,,1943,,,1978
Karl Emanuel Jansson,Kaksi puu- ja pensasharjoitelmaa,,graphics,,1874,,1846,1874,,
Amélie Lundahl,Harjoitelmapää,,painting,,1882,,1850,1914,,
Karl Johan Fredrik von Heideken,Vesivärimaalaus Turun teatterille,,painting,,1860,,1832,1888,,
Robert Wilhelm Ekman,Neljä talonpoikaislasta maisemassa,,painting,,1865,,1808,1873,,1865
Karl Emanuel Jansson,Kasvoharjoitelmia: nuorukaisen ja nukkuvan lapsen kasvot sekä pojan pää profiilissa,,graphics,,1874,,1846,1874,,
Karl Emanuel Jansson,Ahvenanmaalainen talonpoikaistalo,,graphics,,1874,,1846,1874,,
Fridolf Weurlander,Talvimaisema,,painting,,1886,,1851,1900,,
Jozef Israëls,Vanhan naisen muotokuva,,graphics,,1919,,1824,1911,,
Carl Viking Wargh,"nimetön, maisema",,painting,,,,1938,2018,,2004
Magnus von Wright,Maisema Söderkullasta Sipoon pitäjästä,,graphics,,1875,,1805,1868,,1852
Albert Edelfelt,Lapsen ruumissaatto,,painting,,,,1854,1905,,1879
Åke Hellman,Vanha nainen,,graphics,,,,1915,2017,,1939
Åke Hellman,Luonnoskirja 10,,graphics,,,,1915,2017,,1942
Aimo Kanerva,Punapohjainen omakuva,,painting,,,,1909,1991,,1952
Juhana Blomstedt,Sommitelma (Signa),,painting,,,,1937,2010,,1961
Torsten Forstén,"Viipurin linna, originaalipiirustus teokseen Finland framställdt i teckningar",,graphics,,,,,,,1840
Magnus Enckell,Lepäävä poika,,painting,,,,1870,1925,,1892
Magnus Enckell,Kuvanveistäjä Madeleine Jouvrayn muotokuva,,painting,,,,1870,1925,,1893
Magnus Enckell,Rouva E. Gadolin-Lagervallin muotokuva,,painting,,1902,,1870,1925,,1901
Magnus Enckell,Kalastajaväkeä rannalla,,painting,,,,1870,1925,,1900
Constantin Meunier,Valaja,,painting,,,,1831,1905,,1902
Albert Edelfelt,Harjoitelmapäitä,,graphics,,1913,,1854,1905,,1903
Erkki Heikkilä,Nippu-uittoa,,painting,,2003,,1933,1996,,1970
Magnus Enckell,Aihe Kaivopuistosta,,painting,,,,1870,1925,,1919
Magnus Enckell,Tyttöjä rannalla,,painting,,,,1870,1925,,1910
Magnus Enckell,Lempi (Kuorsalosta),,painting,,,,1870,1925,,1914
Albert Edelfelt,"La Reine Isabella, harjoitelma sekä kaksi espanjalaista toreadoria",,graphics,,1922,,1854,1905,,1879
Magnus Enckell,Kukkia,,painting,,,,1870,1925,,1912
Magnus Enckell,Taiteilijan äiti,,painting,,,,1870,1925,,1904
Veikko Vionoja,Ikkuna,,painting,,,,1909,2001,,1954
Magnus Enckell,Ikkunan ääressä,,painting,,,,1870,1925,,1919
Vladimír Silovský,Plumlovin linna,,graphics,,,,1891,,,
Magnus Enckell,Lukeva tyttö,,painting,,,,1870,1925,,1921
Åke Hellman,Mehuntekoa,,graphics,,,,1915,2017,,1941
Magnus Enckell,Rouva Esther Cederhvarf ja hänen poikansa,,painting,,,,1870,1925,,1916
Åke Hellman,Korsu,,,,,,1915,2017,,1944
Åke Hellman,Korsu,,,,,,1915,2017,,1942
Ellen Thesleff,"Naisfiguuri, harjoitelma",,graphics,,,,1869,1954,,
Ellen Thesleff,Pisan kellotorni,,graphics,,,,1869,1954,,
Åke Hellman,Alikersantti,,graphics,,,,1915,2017,,1944
Åke Hellman,Poseeraaja,,graphics,,,,1915,2017,,1944
Ellen Thesleff,"Nainen hameessa, harjoitelma",,graphics,,,,1869,1954,,
Magnus Enckell,Edvard Richterin muotokuva,,painting,,,,1870,1925,,1908
Magnus Enckell,Itkevä nainen,,graphics,,,,1870,1925,,1907
Magnus Enckell,Rouva Anni Lagerborg,,painting,,,,1870,1925,,1914
Ellen Thesleff,"Alaston nainen, malliharjoitelma",,graphics,,,,1869,1954,,
Ester Helenius,Meren kuninkaat,,graphics,,,,1875,1955,,1922
Väinö Hervo,Hummeriasetelma,,painting,,,,1894,1974,,1938
Jorma Ohenoja,Asetelma,,graphics,,,,1946,,,1973
Kauko Lehtinen,Suuri asetelma,,painting,,2010,,1925,2012,,1955
Tuulikki Pietilä,Simpukka (sarjasta Atlantis),,graphics,,,,1917,2009,,1968
Max Salmi,Simpukka mustalla pöydällä,,painting,,,,1931,1995,,1961
Ada Thilén,Osterinpoimijat,,painting,,,,1852,1933,,1885
Albert Edelfelt,"Porilaisten marssi, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,graphics,,,,1854,1905,,1897
Magnus Enckell,Asetelma,,painting,,,,1870,1925,,1912
Leonardo Castellani,Simpukoita,,graphics,,,,,,,1943
Ville Vallgren,Ravun kanssa leikkivä poika,,sculpture,,1884,,1855,1940,,1884
Magnus Enckell,Hiuksiansa suoriva tyttö,,painting,,,,1870,1925,,1902
Hugo Simberg,Kaksi luonnosta Tampereen tuomiokirkon (Johanneksen kirkko) keskiholvin käärmeseen,,graphics,,,,1873,1917,,
Ellen Thesleff,"Tytön pää, harjoitelma",,graphics,,,,1869,1954,,
Ellen Thesleff,Figuuriharjoitelma,,graphics,,,,1869,1954,,
Albert Edelfelt,Vänrikin markkinamuisto -runon loppuvinjetti,,graphics,,,,1854,1905,,1897
Ellen Thesleff,Harjoitelma,,graphics,,,,1869,1954,,1948
Magnus von Wright,Hatanpää Härmälästä nähtynä,,graphics,,1875,,1805,1868,,1846
Elin Danielson-Gambogi,Äiti,,painting,,,,1861,1919,,1893
Albert Edelfelt,"Numero viisitoista Stolt-runon alkukirjain D, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen (ruots.painos)",,graphics,,,,1854,1905,,1897
Albert Edelfelt,"Numero viisitoista Stolt-runon alkukirjain I, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen (suom. painos)",,graphics,,,,1854,1905,,1897
Francesco Somaini,Haava,,sculpture,,,,1926,,,1960
Paolo Manaresi,Maisema Apenniineilta,,graphics,,,,,,,1956
Victor Westerholm,"Auringonlaskun jälkeen, maisema Ahvenanmaalta",,painting,,,,1860,1919,,1886
Victor Westerholm,Knutsbodan vuoret,,painting,,1945,,1860,1919,,1909
Albert Edelfelt,J.Z. Duncker,,graphics,,,,1854,1905,,1897
Albert Edelfelt,Vänrikin tervehdys -runon alkukirjain T,,graphics,,,,1854,1905,,1897
Tapio Junno,Säde,,sculpture,,,,1940,2006,,1998
Veikko Nuutinen,Balanssi,,sculpture,,,,1944,,,1995
Reino Hietanen,Pöytäasetelma,,painting,,,,1932,,,1977
Eino Ruutsalo,Keltainen vaakatila,,painting,,,,1921,2001,,1980
Anders Ekman,"Ristikkotalo Düsseldorfissa, taustalla kirkontornin kärki",,graphics,,,,1833,1855,,1845
Tuulikki Pietilä,Firenzen Ponte Vecchio,,graphics,,,,1917,2009,,1952
Anders Ekman,Sisäkuva saksalaisesta maalaistalosta,,painting,,,,1833,1855,,1850
Viktor Kuusela,Villa Lante,,graphics,,,,1925,,,1957
Albert Edelfelt,"Maaherra-runon loppuvinjetti, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,graphics,,,,1854,1905,,1897
Ellen Thesleff,Kaksi henkilöä pöydän ääressä,,graphics,,,,1869,1954,,1919
Albert Edelfelt,Talo Porvoossa,,painting,,1902,,1854,1905,,1902
Alexandra Frosterus-Såltin,Risunkerääjäeukko,,painting,,,,1837,1916,,1875
Eva Cederström,Omakuva,,painting,,,,1909,1995,,1954
Werner Holmberg,"Pilvinen taivas maiseman yllä, harjoitelma",,painting,,1890,,1830,1860,,1854
Werner Holmberg,"Synkkä taivas, harjoitelma",,painting,,1890,,1830,1860,,1854
Werner Holmberg,"Pilvinen taivas, harjoitelma",,painting,,1890,,1830,1860,,1855
Ellen Thesleff,Hahmoja luonnossa,,graphics,,,,1869,1954,,1937
Aukusti Uotila,Hämäläinen maisema ; keskeneräinen,,painting,,,,1858,1886,,
Hjalmar Munsterhjelm,"Hiljainen kesäilta, aihe Hämeestä",,painting,,,,1840,1905,,1860
Eva Cederström,Koulutyttö,,painting,,,,1909,1995,,1960
Eva Cederström,Lukuhetki,,painting,,,,1909,1995,,1963
Berndt Lindholm,Puron uoma,,painting,,,,1841,1914,,1868
Ellen Thesleff,"Alaston mies, malliharjoitelma",,graphics,,,,1869,1954,,1892
Albert Edelfelt,Hyvät ystävät III (Berta ja Capi),,painting,,1893,,1854,1905,,1883
Albert Edelfelt,"""Kunniata ukko Klercker ijät päivät saakohon""",,graphics,,,,1854,1905,,1897
David Hockney,Cavafyn muotokuva Alexandriassa (Peili sisääntulossa),,graphics,,,,1937,,,1966
Åke Hellman,"Jokeri, sirppi ja käsine",,painting,,,,1915,2017,,1986
Ellen Thesleff,"Alaston mies, malliharjoitelma",,graphics,,,,1869,1954,,1892
David Hockney,Cavafyn muotokuva II,,graphics,,,,1937,,,1966
Antti Favén,Toini Nikander (Antonietta Toini),,painting,,,,1882,1948,,1938
Hanna Rönnberg,"Kalligrafi Lieven Willemsz van Coppenol, kopio Rembrandtin mukaan",,painting,,,,1860,1946,,1893
Andy Warhol,Sähkötuoli,,graphics,,,,1928,1987,,1971
Maria Wiik,Heinähäkki niityllä,,painting,,,,1853,1928,,
Albert Edelfelt,Vänrikin markkinamuisto -runon alkukirjain Y,,graphics,,,,1854,1905,,1897
Sigfrid August Keinänen,"Haminalahti, emäntä polulla",,painting,,,,1841,1914,,1900
Lennart Forstén,Niemisjoki Pielaveden pitäjässä,,painting,,1872,,1817,1886,,1870
Pekka Halonen,Heinäkuormia,,painting,,,,1865,1933,,1899
Albert Edelfelt,"Numero viisitoista Stolt-runon loppuvinjetti, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,graphics,,,,1854,1905,,1897
Ellen Thesleff,"Istuva alaston mies, malliharjoitelma",,graphics,,,,1869,1954,,1891
Helmi Kuusi,Naisen muotokuva,,graphics,,,,1913,2000,,1969
Werner Holmberg,"Peltomaisema, harjoitelma",,painting,,1890,,1830,1860,,1854
Hjalmar Munsterhjelm,Jokela Tuuloksessa,,painting,,2003,,1840,1905,,1882
Akseli Gallen-Kallela,Tohtori Herman Frithiof Antellin muotokuva,,painting,,1893,,1865,1931,,1886
Maria Wiik,Maailmalle,,painting,,1891,,1853,1928,,1889
Albert Edelfelt,"Maaherra-runon alkukirjain G, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen (ruots.painos)",,graphics,,,,1854,1905,,1897
Harald Gallén,Murtunut honka,,graphics,,,,1880,1931,,
Gottfrid Kallstenius,Ilta suolla,,painting,,,,1861,1943,,1900
Magnus von Wright,Tammerkoski,,graphics,,1875,,1805,1868,,1846
Karin Hellman,Ruusu ja kuiskaus,,painting,,,,1915,2004,,1980
Ellen Thesleff,"Alaston nainen, malliharjoitelma",,graphics,,,,1869,1954,,1891
Antti Louhisto,Sarvikuono,,sculpture,,,,1918,1989,,1960
Eva Cederström,Omakuva,,painting,,,,1909,1995,,1957
Anita Snellman,Orkesteri,,painting,,,,1924,2006,,1953
Albert Edelfelt,Laulajatar Aino Acktén muotokuva,,painting,,,,1854,1905,,1901
Ada Thilén,Järvimaisema,,painting,,,,1852,1933,,1875
Magnus von Wright,Termopyle Tampereen lähellä,,graphics,,1875,,1805,1868,,1846
Albert Edelfelt,"""Vibelius katsoo tuomarpöytään, siin' on laki Ruotsin maan"". Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,graphics,,,,1854,1905,,1897
Eero Järnefelt,Raatajat rahanalaiset / Kaski,,painting,,,,1863,1937,,1893
Sigrid Granfelt,Mäntyjä merenrannalla,,painting,,,,1868,1942,,1895
Albert Edelfelt,Vänrikin tervehdys -runon alkukirjain H,,graphics,,,,1854,1905,,1897
Albert Edelfelt,Katu Porvoossa,,graphics,,1902,,1854,1905,,1902
Yrjö Ollila,Rantamäntyjä,,painting,,,,1887,1932,,1912
Arvid Broms,Omakuva,,painting,,,,1910,1968,,1948
Ellen Thesleff,"Alaston nainen selin, malliharjoitelma",,graphics,,,,1869,1954,,1891
Albert Edelfelt,Croquia-Album 25/3 1873,,graphics,,1923,,1854,1905,,1873
Albert Edelfelt,"""On Saimaan sadat saarenteet""",,graphics,,,,1854,1905,,1897
Werner von Hausen,"Tanssi, kopio Napolissa olevasta antiikin freskosta",,painting,,1902,,1870,1951,,1900
Helga Timgren,"Venelaituri, Helsingholm",,graphics,,,,1869,1940,,1930
Helga Timgren,Omenapuut,,graphics,,,,1869,1940,,1930
Pentti Kaskipuro,Omakuva,,graphics,,,,1930,2010,,1990
Albert Edelfelt,"Maaherra-runon alkukirjain K, originaalipiirustus Vänrikki Stoolin",,graphics,,,,1854,1905,,1897
Pentti Kaskipuro,Omakuva,,graphics,,,,1930,2010,,1960
Pentti Kaskipuro,Omakuva,,graphics,,,,1930,2010,,1964
Tuulikki Pietilä,Suon usvaa (sarjasta Toiset maailmat),,graphics,,,,1917,2009,,1966
Tuulikki Pietilä,Talvi-ilta Helsingissä,,graphics,,,,1917,2009,,1964
Albert Edelfelt,Vänrikin markkinamuisto -runon alkukirjain G,,graphics,,,,1854,1905,,1897
Christian Sibelius,Teatteriaitiossa,,painting,,,,1910,1951,,
Albert Edelfelt,Vänrikin tervehdys -runon loppuvinjetti,,graphics,,,,1854,1905,,1897
Matti Petäjä,Kulkijat,,graphics,,,,1912,1995,,1964
Marjatta Hanhijoki,Karhusaari,,graphics,,,,1948,,,1986
Akseli Gallen-Kallela,"Ritari ja kuningaskäärme, Seitsemän veljeksen kuvitusta",,painting,,,,1865,1931,,1907
Ina Colliander,Rotko,,graphics,,,,1905,1985,,1941
Matti Visanti,Ilmestyskirja ; Mikaelin ja lohikäärmeen taistelu (13),,graphics,,,,1885,1957,,
Helga Timgren,Rantapetäjät Kalvkilenissä,,graphics,,,,1869,1940,,1930
Helga Timgren,Hjortronharun Nauvossa,,graphics,,,,1869,1940,,1932
Victor Westerholm,Näköala Reiniltä Düsseldorfin luona,,painting,,,,1860,1919,,1883
Helga Timgren,"Mänty, Stora Bergskär",,graphics,,,,1869,1940,,1932
Helga Timgren,Keisari-Finan kalamaja Högsårassa,,graphics,,,,1869,1940,,1929
Hugo Simberg,Täti,,painting,,,,1873,1917,,1898
,Maisema,,graphics,,,,,,,1850
Albert Edelfelt,"Adlercreutz-runon loppuvinjetti, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,graphics,,,,1854,1905,,1897
Akseli Gallen-Kallela,Luonnos värikuvaan Ritari ja kuningaskäärme,,graphics,,,,1865,1931,,1906
Allan Österlind,Kaste,,painting,,1893,,1855,1938,,1886
Akseli Gallen-Kallela,Luonnos värikuvaan Ritari ja kuningaskäärme,,graphics,,,,1865,1931,,1906
Matti Visanti,Ilmestyskirja ; Mikaelin ja lohikäärmeen taistelu (13),,graphics,,,,1885,1957,,1945
Magnus Enckell,Harjoitelma,,painting,,1926,,1870,1925,,1890
Helga Timgren,Lahdenpoukama Högsårassa,,graphics,,,,1869,1940,,1929
Mirja Airas,Pikajuna,,graphics,,,,1945,,,2011
Mirja Airas,Salaisuus III,,graphics,,,,1945,,,2004
Helga Timgren,"Venevaja, Oxvik",,graphics,,,,1869,1940,,1929
Helga Timgren,Varhainen aamu Högsårassa,,graphics,,,,1869,1940,,1929
Mirja Airas,Salaisuus I,,graphics,,,,1945,,,2000
Mirja Airas,Rukousnauha III,,graphics,,,,1945,,,2012
Helga Timgren,Storbackan tila Högsårassa,,graphics,,,,1869,1940,,1930
Helga Timgren,Venevalkama Hösårassa,,graphics,,,,1869,1940,,1930
Helga Timgren,"Kalastajan mökki, Dömaskär",,graphics,,,,1869,1940,,1932
Johan Knutson,Baijerin Alppeja,,painting,,,,1816,1899,,1873
Mirja Airas,Salaisuus II,,graphics,,,,1945,,,2008
Marjatta Hanhijoki,Annansilmä,,graphics,,,,1948,,,
Mirja Airas,"Ilo, kauhia riemu",,graphics,,,,1945,,,2010
Mirja Airas,Oi aamua sunnuntain,,graphics,,,,1945,,,2009
Marjatta Hanhijoki,Riekonmarja,,graphics,,,,1948,,,1983
Elga Sesemann,Kaivopuiston rantaa,,painting,,,,1922,2007,,1941
